name
Abarth
Abbott-Detroit
AC Propulsion
Acura
Alfa Romeo
Alpina
Alpine (automobile)
Alvis Car and Engineering Company
American Motors Corporation
Amilcar
Amuza
Apollo Automobil
Ariel Motor Company
ARO
Arrinera
Ascari Cars
Aston Martin
Audi
Automobile Dacia
Automobiles Grégoire
Automobiles René Bonnet
Automotive Industries
Auverland
Avions Voisin
Ballot (automobile)
BAW
Bedford Vehicles
Bentley
Bignan (automobile)
Bitter Cars
BMW
Bolwell
Borgward
Borgward Group
Brabham Automotive
Brabus
Brasier
Bremach
Brilliance Auto
Bristol Cars
British Motor Holdings
Bugatti
Buick
BYD Auto
Callaway Cars
Chery
Chrysler (brand)
Citroën
Columbia (automobile brand)
Daewoo
Datsun
David Brown Automotive
Dodge
Dongfeng Motor Corporation
DR Motor Company
DS Automobiles
Eagle Engineering & Motor Company
Elio Motors
Falcon Motorsports
Faraday Future
Ferrari
Ferrari 70th Anniversary
Fiat Automobiles
Fisker Inc.
Force Motors
Ford Motor Company
Foton Motor
GAZ
Geely
Genesis Motors
GTA Motor
Honda
Hudson Motor Car Company
Hyundai Motor Company
Industria Argentina Vehículos de Avanzada
Infiniti
Isuzu Motors
Jaguar Cars
Jeep
Karma Automotive
Kia Motors
Koenigsegg
KTM
Lada
Lagonda
Lamborghini
Land Rover
Lexus
Leyland Motors
Lincoln Motor Company
List of car brands
Lister Cars
Lotec
Lotus Cars
Lucid Motors
Luxgen
Marussia Motors
Maserati
Mastretta
Maybach
Mazda
Mazzanti Automobili
McLaren Automotive
Mercedes-Benz
Mini (marque)
Mitsubishi Motors
NIO (car company)
Nissan
Opel
Pagani (company)
Panoz
Perodua
Peugeot
Polski Fiat
Porsche
Prodrive
Proto Motors
PROTON Holdings
PSA Bronto
Ram Trucks
Renault
Roewe
Rolls-Royce Motor Cars
Saab Automobile
SEAT
Škoda Auto
Smart (marque)
Spyker Cars
SsangYong Motor
SSC North America
Studebaker
Subaru
Suzuki
Tata Motors
Tesla
Toroidion
Toyota
UAZ
Ultima Sports
Vauxhall Motors
Vector Motors
Venturi Automobiles
Volkswagen
Volvo
Zhiguli (car brand)
